player_name,nation,position,team_name,league,age,matches_played,starts,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,expected_goals,expected_assists
Samuel Grandsir,fr FRA,"MF,FW",Le Havre,fr Ligue 1,27.0,6,0,84,0,0,0,0,0,0.0,0.6
Alberto Grassi,it ITA,MF,Empoli,it Serie A,29.0,28,27,2203,1,0,0,8,0,1.0,0.8
Ryan Gravenberch,nl NED,MF,Liverpool,eng Premier League,22.0,37,37,3160,0,4,0,6,1,1.1,3.1
Archie Gray,eng ENG,"DF,MF",Tottenham,eng Premier League,18.0,28,19,1751,0,0,0,1,0,0.0,0.1
Jack Grealish,eng ENG,"FW,MF",Manchester City,eng Premier League,28.0,20,7,721,1,1,0,3,0,1.1,1.8
Jacob Greaves,eng ENG,DF,Ipswich Town,eng Premier League,23.0,25,25,2205,1,0,0,5,0,1.3,0.3
Mason Greenwood,eng ENG,"FW,MF",Marseille,fr Ligue 1,22.0,34,32,2804,21,5,7,3,0,16.3,5.7
Michael Gregoritsch,at AUT,FW,Freiburg,de Bundesliga,30.0,20,5,639,2,1,0,2,0,1.8,0.4
Dominik Greif,sk SVK,GK,Mallorca,es La Liga,27.0,31,31,2790,0,0,0,1,0,0.0,0.0
Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,es La Liga,33.0,38,29,2469,8,7,1,2,0,7.4,7.1
Vincenzo Grifo,it ITA,"FW,MF",Freiburg,de Bundesliga,31.0,34,31,2432,8,11,0,2,0,7.9,6.9
Florian Grillitsch,at AUT,MF,Valladolid,es La Liga,28.0,13,7,623,0,0,0,1,0,0.1,0.7
Florian Grillitsch,at AUT,MF,Hoffenheim,de Bundesliga,28.0,8,8,601,0,0,0,1,0,0.2,0.2
Álex Grimaldo,es ESP,DF,Leverkusen,de Bundesliga,28.0,32,31,2636,2,7,0,6,1,2.5,8.1
Pascal Groß,de GER,"MF,DF",Dortmund,de Bundesliga,33.0,30,28,2327,0,9,0,5,1,2.4,5.1
Brajan Gruda,de GER,"MF,FW",Brighton,eng Premier League,20.0,21,8,687,1,4,0,0,0,1.2,2.1
Marco Grüll,at AUT,"FW,MF",Werder Bremen,de Bundesliga,26.0,30,13,1181,6,1,0,1,0,4.0,1.8
